query #, secs elapsed, status
1,  , FAILURE_FILENOTFOUND
2,  , FAILURE_FILENOTFOUND
3,  , FAILURE_FILENOTFOUND
4,  , FAILURE_FILENOTFOUND
5,  , FAILURE_FILENOTFOUND
6,  , FAILURE_FILENOTFOUND
7,  , FAILURE_FILENOTFOUND
8,  , FAILURE_FILENOTFOUND
9,  , FAILURE_FILENOTFOUND
10,  , FAILURE_FILENOTFOUND
11,  , FAILURE_FILENOTFOUND
12,  , FAILURE_FILENOTFOUND
13,  , FAILURE_FILENOTFOUND
14,  , FAILURE_FILENOTFOUND
15,  , FAILURE
16,  , FAILURE_FILENOTFOUND
17,  , FAILURE_FILENOTFOUND
18,  , FAILURE
19,  , FAILURE_FILENOTFOUND
